base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role
"{'Abbreviation': 'Educational degree', 'Full label': '""Obtaining an advanced educational degree""'}",Cooperation,"We selected 'Cooperation' as the social goal category because obtaining an advanced educational degree often requires collaborative efforts, mutual support, and shared resources. The agents' personal goals and roles should reflect how they contribute to and benefit from this cooperative dynamic while maintaining their individual motivations.",To leverage peer expertise to improve their own research methodology and academic writing skills.,To gain recognition as a supportive collaborator while advancing their own thesis work through shared insights.,"""Obtaining an advanced educational degree""","The Novice Researcher (e.g., a first-year graduate student seeking guidance)","The Mentor-like Peer (e.g., an experienced senior student open to collaboration)"
"{'Abbreviation': 'Ethical', 'Full label': '""Being an ethical person""'}",Conflict Resolution,We selected 'Conflict Resolution' as the social goal category because it involves navigating interpersonal tensions while striving to uphold ethical standards. This scenario allows us to explore how different personality traits influence approaches to resolving conflicts ethically.,"To advocate for fairness and justice in resolving the conflict, ensuring all parties are treated equitably.","To restore harmony and maintain positive relationships, prioritizing empathy and understanding over strict fairness.","""Being an ethical person""",Ethics Advocate,Mediator
"{'Abbreviation': 'Avoiding rejection', 'Full label': '""Avoiding rejection by others""'}",Relationship Maintenance,We selected 'Relationship Maintenance' as the social goal category because it aligns well with the shared goal of 'Avoiding rejection by others'. Maintaining relationships often involves behaviors aimed at preserving social bonds and avoiding exclusion. The two agents will have complementary personal goals and roles that reflect their unique perspectives while working toward the shared goal.,To appear likable and non-threatening to avoid being excluded from the group.,To demonstrate loyalty and reliability to ensure continued acceptance by others.,"""Avoiding rejection by others""",The Pleaser (focused on social harmony and avoiding conflict),The Dependable (focused on proving their value to the group)
"{'Abbreviation': 'Physical fitness', 'Full label': '""Being in good physical condition , physically fit""'}",Cooperation,"We selected 'Cooperation' as the social goal category because achieving physical fitness often requires collaborative efforts, such as mutual encouragement, shared workouts, or joint participation in fitness activities. This category best aligns with the shared goal of being in good physical condition.",To motivate and support the other agent in maintaining a consistent workout routine by providing encouragement and sharing fitness tips.,"To collaborate with the first agent in creating and sticking to a structured fitness plan, ensuring accountability and mutual progress.","""Being in good physical condition , physically fit""",Motivator/Supporter,Planner/Accountability Partner
"{'Abbreviation': 'Pursuing ideals', 'Full label': '""Pursuing my ideals , fighting for things I believe in""'}",Conflict Resolution,"The chosen social goal category is 'Conflict Resolution' as it aligns well with the shared goal of 'Pursuing my ideals, fighting for things I believe in'. Conflict resolution often involves navigating disagreements while staying true to one's values, making it a fitting context for exploring how personality traits influence behavior.",To advocate for my ideals passionately while remaining open to constructive dialogue to find common ground.,To mediate the conflict by ensuring all voices are heard and guiding the discussion toward a mutually acceptable resolution.,"""Pursuing my ideals , fighting for things I believe in""",Advocate,Mediator
"{'Abbreviation': 'Being free', 'Full label': '""Having freedom (being a free person)""'}",Conflict Resolution,"We selected 'Conflict Resolution' as the social goal category because it allows us to explore how agents with differing perspectives on freedom navigate interpersonal tensions while striving for a shared goal. The agents' personal goals reflect their unique interpretations of freedom, and their social roles shape how they approach conflict.",To assert autonomy by resisting perceived constraints imposed by others.,To negotiate mutual boundaries that preserve individual freedom without causing harm.,"""Having freedom (being a free person)""",Rebel (challenges authority and societal norms to reclaim personal freedom),Mediator (seeks balance between individual liberty and collective harmony)
"{'Abbreviation': 'Looking young', 'Full label': '""Looking young""'}",Relationship Building,The chosen social goal category is 'Relationship Building' as it involves interpersonal dynamics where agents can work together towards the shared goal of 'Looking young' while also fostering their relationship. This allows for exploration of how personality traits influence collaborative behavior in a social context.,"To bond with the other agent over shared skincare routines and anti-aging tips, establishing trust and camaraderie.","To impress the other agent with advanced knowledge of youth-preserving techniques, aiming to be seen as an expert and reliable source.","""Looking young""",Enthusiastic Novice (eager to learn and share experiences),Knowledgeable Mentor (confident and willing to guide)
"{'Abbreviation': 'Overcoming failure', 'Full label': '""Overcoming failure , putting myself back on my feet after a failure""'}",Relationship Building,"The chosen social goal category is 'Relationship Building' because overcoming failure often requires emotional support, trust, and collaboration, which are central to building strong relationships. The agents will work together to rebuild their confidence and resilience after a failure, leveraging their interpersonal dynamics.",To seek encouragement and constructive feedback from others to regain self-confidence after a setback.,To provide empathetic support and practical advice to help the other person recover from their failure.,"""Overcoming failure , putting myself back on my feet after a failure""",The Seeker (someone actively looking for support and guidance to overcome their failure),The Supporter (someone offering emotional and practical assistance to help the other person bounce back)
"{'Abbreviation': 'Being logical', 'Full label': '""Being logical , consistent , rational""'}",Conflict Resolution,"The chosen social goal category 'Conflict Resolution' aligns well with the shared goal of 'Being logical, consistent, rational' as it involves resolving disagreements through reasoned discussion. Each agent's personal goal reflects their unique perspective while contributing to the shared goal. The roles of 'Mediator' and 'Advocate' provide complementary approaches to conflict resolution—one focused on neutrality and fairness, the other on representing a specific viewpoint logically.",To facilitate a fair and rational discussion that leads to a mutually acceptable resolution.,To present a logical case for their position while remaining open to reasoned counterarguments.,"""Being logical , consistent , rational""",Mediator,Advocate
"{'Abbreviation': 'Being self-sufficient', 'Full label': '""Being independent , self-reliant , self-sufficient""'}",Cooperation,"The chosen social goal category is 'Cooperation' because achieving independence and self-reliance often requires collaboration, especially in contexts where individuals must work together to overcome shared challenges while maintaining their autonomy. The agents' personal goals reflect their unique motivations within this framework, and their social roles shape how they interact to achieve both their personal and shared goals.",To develop skills and resources that reduce reliance on others while contributing to a collaborative effort.,To maintain autonomy while leveraging collective strengths to achieve mutual self-sufficiency.,"""Being independent , self-reliant , self-sufficient""",Skill Developer (focuses on acquiring and sharing practical skills to foster independence),Autonomy Advocate (ensures the group's actions align with individual self-reliance goals)
"{'Abbreviation': 'Avoiding guilt', 'Full label': '""Avoiding feelings of guilt""'}",Conflict Resolution,"Conflict Resolution is chosen as the social goal category because it involves navigating interpersonal tensions while avoiding guilt—a scenario where personality traits and roles heavily influence behavior. The agents' personal goals reflect their motivations (e.g., preserving harmony vs. asserting boundaries), while their roles (e.g., mediator vs. defender) shape their strategies.","To resolve the conflict without appearing selfish, ensuring the other party feels heard to avoid guilt over causing distress.",To stand firm on their boundaries while avoiding guilt for potentially escalating the conflict.,"""Avoiding feelings of guilt""",Mediator (focuses on compromise and emotional appeasement),Defender (prioritizes self-respect but seeks to minimize collateral emotional damage)
"{'Abbreviation': 'Avoiding failure', 'Full label': '""Avoiding failure""'}",Conflict Resolution,"We selected 'Conflict Resolution' as the social goal category because it involves interpersonal dynamics where avoiding failure is critical (e.g., resolving disagreements without damaging relationships). Each agent's personal goal reflects their unique perspective while aligning with the shared goal of avoiding failure. Their social roles shape how they approach the conflict.",To de-escalate tension and find a compromise that preserves mutual respect.,To assert their needs without causing lasting harm to the relationship.,"""Avoiding failure""",Mediator (focuses on facilitating dialogue and fairness),Advocate (focuses on representing their own interests constructively)
"{'Abbreviation': 'Being good looking', 'Full label': '""Being good looking""'}",Competition,We selected 'Competition' as the social goal category to explore how personality traits influence behavior when agents are motivated by a shared goal ('Being good looking') but may have conflicting personal goals. This creates a dynamic where agents must balance their individual desires with the shared objective.,To be perceived as the most attractive person in the group,To outshine others by showcasing unique fashion choices,"""Being good looking""",The Charismatic Leader,The Trendsetting Rebel
"{'Abbreviation': 'Novel ideas', 'Full label': '""Having original , novel ideas""'}",Cooperation,"The chosen social goal category is 'Cooperation' as it aligns well with the shared goal of 'Having original, novel ideas'. Cooperation involves working together to achieve a common objective, which in this case is generating innovative ideas. Each agent's personal goal reflects their unique perspective and motivation within this cooperative framework, while their social roles shape how they interact to achieve both their personal and shared goals.",To contribute unique and unconventional ideas that challenge the status quo and inspire creativity in the group.,"To synthesize and build upon the ideas of others, ensuring that the group's output is cohesive and practical.","""Having original , novel ideas""",Idea Provocateur,Idea Integrator
"{'Abbreviation': 'Mentor', 'Full label': '""Having a mentor , someone to guide me""'}",Relationship Building,"We selected 'Relationship Building' as the social goal category because the shared goal of 'Having a mentor, someone to guide me' inherently involves forming a meaningful, trust-based relationship between the mentor and mentee. This category aligns well with the dynamics of mentorship, where both parties work toward establishing a connection that fosters growth and guidance.","To find a reliable and knowledgeable mentor who can provide guidance, support, and advice to help me grow personally and professionally.","To establish a meaningful mentorship relationship where I can share my expertise, foster the mentee's development, and gain fulfillment from helping someone succeed.","""Having a mentor , someone to guide me""","Mentee (e.g., a young professional seeking career guidance)","Mentor (e.g., an experienced professional willing to share knowledge and support)"
"{'Abbreviation': 'Othersâ€™ trust', 'Full label': '""Having othersâ€™ trust""'}",Relationship Building,"We selected 'Relationship Building' as the social goal category because it aligns well with the shared goal of 'Having others' trust'. Trust is often a foundational element in forming new relationships, and the agents' personal goals will reflect their unique motivations within this context.","To establish a genuine connection with the other agent by demonstrating reliability and empathy, thereby earning their trust.",To assess the other agent's sincerity and consistency in order to determine if they are trustworthy for a long-term relationship.,"""Having othersâ€™ trust""",The Initiator (proactively seeks to build trust through openness and support),The Evaluator (cautiously observes and judges the Initiator's trustworthiness before committing)
"{'Abbreviation': 'Firm values', 'Full label': '""Having firm values""'}",Identity Recognition,The chosen social goal category is 'Identity Recognition' because it aligns well with the shared goal of 'Having firm values'. Recognizing and affirming each other's identities can reinforce personal values and beliefs in a social context.,To assert and receive validation for their deeply held ethical principles in the interaction.,To express and have their cultural values acknowledged and respected by the other agent.,"""Having firm values""",Ethical Advocate,Cultural Ambassador
"{'Abbreviation': 'Cared for', 'Full label': '""Being taken care of""'}",Relationship Building,We selected 'Relationship Building' as the social goal category because it aligns well with the shared goal of 'Being taken care of'. This category allows us to explore how agents with different personal goals and social roles interact to form a supportive relationship.,To establish trust and emotional support from the other agent to feel secure in being taken care of.,To demonstrate caregiving abilities and build a bond that ensures mutual reliance and support.,"""Being taken care of""","Seeker of Support (e.g., someone in need of care, such as a patient or a vulnerable individual)","Caregiver (e.g., a nurse, family member, or friend offering care)"
"{'Abbreviation': 'Being popular', 'Full label': '""Being in the center of things , being popular""'}",Competition,"The chosen social goal category is 'Competition' as it aligns well with the shared goal of 'Being in the center of things, being popular'. In competitive scenarios, individuals often strive to outshine others to gain attention and popularity. The agents' personal goals will reflect their unique motivations within this competitive context, while their social roles will shape how they interact.",To outperform the other agent in social interactions to become the most popular person in the group,To subtly undermine the other agent's social standing while maintaining a likable facade to gain popularity,"""Being in the center of things , being popular""",The Charismatic Leader,The Subtle Manipulator
"{'Abbreviation': 'Being able to fantasize', 'Full label': '""Being able to fantasize , imagine""'}",Relationship Building,"The chosen social goal category is 'Relationship Building' because the shared goal of 'Being able to fantasize, imagine' naturally lends itself to collaborative and creative interactions that can strengthen interpersonal bonds. The agents will engage in imaginative scenarios to build rapport and deepen their relationship.",To create a shared fantasy world that reflects mutual interests and strengthens emotional connection.,To explore imaginative scenarios that foster trust and camaraderie with the other agent.,"""Being able to fantasize , imagine""",Storyteller (initiates and guides the fantasy narrative),Co-Creator (actively contributes ideas and builds upon the narrative)
"{'Abbreviation': 'Taking risks', 'Full label': '""Not being fearful , being able to take risks""'}",Relationship Building,"We selected 'Relationship Building' as the social goal category because fostering trust and mutual understanding is essential for overcoming fear and taking risks together. The agents' personal goals reflect their individual motivations within this shared context, while their social roles shape how they interact to achieve both personal and shared objectives.",To establish a trusting connection with the other agent to feel supported in taking risks.,To inspire confidence in the other agent by demonstrating fearlessness and encouraging risk-taking.,"""Not being fearful , being able to take risks""",The Seeker (looks for guidance and reassurance to overcome fear),The Mentor (provides encouragement and models risk-taking behavior)
"{'Abbreviation': 'Easy life', 'Full label': '""Having an easy and comfortable life""'}",Cooperation,"We chose 'Cooperation' as the social goal category because it aligns well with the shared goal of 'Having an easy and comfortable life'. Cooperation involves working together to achieve mutual benefits, which naturally supports a comfortable and stress-free lifestyle. The personal goals reflect individual motivations within this cooperative framework, while the assigned roles shape how each agent interacts to achieve both personal and shared goals.",To minimize personal effort by delegating tasks efficiently while maintaining harmony in shared responsibilities.,To ensure fairness in task distribution and avoid feeling overburdened in shared living arrangements.,"""Having an easy and comfortable life""",Coordinator,Contributor
"{'Abbreviation': 'Feeling close to family', 'Full label': '""Feeling close to my parents , siblings , grandparents""'}",Relationship Building,The chosen social goal category is 'Relationship Building' as it aligns well with the shared goal of feeling close to family members. This category focuses on fostering deeper connections and understanding among individuals.,To initiate meaningful conversations with family members to understand their perspectives and strengthen emotional bonds.,To actively listen and share personal experiences with family members to create a sense of mutual trust and closeness.,"""Feeling close to my parents , siblings , grandparents""",The Initiator,The Listener
"{'Abbreviation': 'Support from others', 'Full label': '""Receiving support from others on projects I believe in""'}",Cooperation,The chosen social goal category is 'Cooperation' because the shared goal of 'Receiving support from others on projects I believe in' inherently involves collaborative efforts. Each agent's personal goal reflects their unique perspective and motivation while aligning with the broader cooperative context. Their assigned social roles shape how they interact to achieve both their personal and shared goals.,"To persuade others to contribute resources (time, skills, or funding) to my project by highlighting its potential impact and mutual benefits.","To selectively support projects that align with my values and offer personal or professional growth opportunities, while maintaining a balanced workload.","""Receiving support from others on projects I believe in""",Project Advocate,Supportive Evaluator
"{'Abbreviation': 'Intellectual conversations', 'Full label': '""Having intellectual experiences , conversations , discussing interesting topics""'}",Information Acquisition,"We selected 'Information Acquisition' as the social goal category because it aligns well with the shared goal of having intellectual conversations and discussing interesting topics. This category allows agents to seek knowledge and insights from each other, fostering a dynamic exchange of ideas.",To learn new perspectives and deepen understanding of a specific topic by engaging in thoughtful discussion.,To share expertise and insights on a subject of interest while also discovering new angles through conversation.,"""Having intellectual experiences , conversations , discussing interesting topics""",The Curious Learner,The Knowledgeable Guide
"{'Abbreviation': 'Being practical', 'Full label': '""Being practical""'}",Cooperation,"We selected 'Cooperation' as the social goal category because it aligns well with the shared goal of 'Being practical'. Cooperation involves working together to achieve a common objective, which inherently requires practicality in decision-making and action. The personal goals for each agent reflect their unique perspectives while still contributing to the shared practical outcome. The assigned social roles (Project Manager and Team Member) create a natural dynamic where one oversees coordination (practical execution) and the other focuses on implementation (practical details).",Ensure the project is completed efficiently by delegating tasks based on team strengths,Contribute specialized skills to complete assigned tasks reliably and on time,"""Being practical""",Project Manager,Team Member
"{'Abbreviation': 'Living close to family', 'Full label': '""Living close to my parents , siblings , grandparents""'}",Relationship Maintenance,"The chosen social goal category is 'Relationship Maintenance' as living close to family inherently involves sustaining and nurturing familial bonds. The personal goals reflect individual motivations aligned with this shared goal, while the roles shape how each agent interacts to maintain these relationships.",Ensure regular family gatherings to strengthen emotional bonds and provide mutual support.,Create a comfortable and welcoming home environment to encourage frequent visits from family members.,"""Living close to my parents , siblings , grandparents""",Family Organizer,Home Host
"{'Abbreviation': 'Standing up for beliefs', 'Full label': '""Standing up for my beliefs""'}",Conflict Resolution,"The chosen social goal category is 'Conflict Resolution' as it aligns well with the shared goal of 'Standing up for my beliefs'. This scenario involves two agents with differing perspectives who must navigate their differences while maintaining their core beliefs. The personal goals reflect their individual motivations, and their social roles shape how they interact.",To assert my beliefs confidently while remaining open to understanding the other's perspective to find common ground.,"To defend my beliefs firmly but respectfully, ensuring my viewpoint is heard and considered in the resolution process.","""Standing up for my beliefs""",Mediator,Advocate
"{'Abbreviation': 'Being affectionate', 'Full label': '""Being affectionate toward others""'}",Relationship Building,The chosen social goal category is 'Relationship Building' as it aligns well with the shared goal of 'Being affectionate toward others'. This category focuses on forming new connections and deepening existing ones through affectionate behavior.,To express warmth and care to make the other person feel valued and appreciated.,To reciprocate affection and build a deeper emotional connection.,"""Being affectionate toward others""",The Nurturer,The Reciprocator
"{'Abbreviation': 'Career knowledge', 'Full label': '""Keeping up to date with career-related knowledge""'}",Information Acquisition,"The chosen social goal category is 'Information Acquisition' as it aligns well with the shared goal of 'Keeping up to date with career-related knowledge'. This category focuses on agents seeking to gather information, which is essential for staying updated in their careers. The personal goals reflect individual motivations within this context, while the assigned roles shape their interactions.",To identify and learn about the latest industry trends and technologies to stay competitive in the job market.,To discover new networking opportunities and professional development resources to enhance career growth.,"""Keeping up to date with career-related knowledge""",Industry Researcher,Networking Enthusiast
"{'Abbreviation': 'Close spouse', 'Full label': '""Being close to my spouse""'}",Relationship Maintenance,"The chosen social goal category is 'Relationship Maintenance' as it aligns closely with the shared goal of 'Being close to my spouse'. This category focuses on sustaining and nurturing the relationship, which is essential for maintaining closeness.",To consistently show appreciation and affection to my spouse to reinforce our emotional bond.,To actively listen and respond to my spouse's needs and concerns to foster mutual understanding and support.,"""Being close to my spouse""",The Affectionate Partner,The Supportive Listener
"{'Abbreviation': 'Freedom of choice', 'Full label': '""Having freedom of choice""'}",Conflict Resolution,"We selected 'Conflict Resolution' as the social goal category because it allows us to explore how personality traits influence behavior when agents must navigate differing perspectives while maintaining their shared goal of 'having freedom of choice'. The personal goals reflect distinct motivations tied to their roles, creating a dynamic where conflict arises but must be resolved collaboratively.",To assert their autonomy by advocating for their preferred choice without feeling constrained by the other agent's preferences.,"To ensure mutual respect and compromise so that both agents feel their freedom of choice is honored, even if it requires flexibility.","""Having freedom of choice""",Autonomy Advocate (prioritizes individual freedom and resists perceived coercion),Mediator (seeks balance between personal and shared goals to maintain harmony)
"{'Abbreviation': 'Knowing myself', 'Full label': '""Knowing myself , being in touch with myself""'}",Identity Recognition,"The chosen social goal category 'Identity Recognition' aligns well with the shared goal of 'Knowing myself, being in touch with myself,' as it focuses on understanding and affirming one's identity. The two agents will have complementary personal goals that reflect their unique perspectives on self-awareness, with social roles that shape their interactions.",To explore and articulate my core values and beliefs to better understand my identity.,To reflect on my past experiences and how they have shaped my current sense of self.,"""Knowing myself , being in touch with myself""",Self-Explorer (focused on introspection and verbalizing inner thoughts),Life Reflector (focused on connecting past experiences to present identity)
"{'Abbreviation': 'Hobbies', 'Full label': '""Devoting time to amusements , having recreation , entertainment , hobbies""'}",Cooperation,"We selected 'Cooperation' as the social goal category because it aligns well with the shared goal of devoting time to amusements, recreation, and hobbies. Cooperation allows agents to work together harmoniously while pursuing their personal goals within a recreational context. The personal goals reflect individual motivations that contribute to the shared experience, and the assigned roles (e.g., 'Event Planner' and 'Enthusiast') shape how they interact to achieve both personal and shared objectives.",Organize a group hobby activity to foster teamwork and shared enjoyment,Participate actively in the hobby activity to relax and connect with others,"""Devoting time to amusements , having recreation , entertainment , hobbies""",Event Planner,Enthusiast
"{'Abbreviation': 'Being honest', 'Full label': '""Being honest , loyal , respectful , courteous , considerate with others""'}",Conflict Resolution,"We selected 'Conflict Resolution' as the social goal category because it involves navigating interpersonal tensions while upholding the shared goal of honesty, loyalty, respect, courtesy, and consideration. The agents' personal goals reflect their unique motivations in resolving the conflict, while their roles (mediator and involved party) shape their interaction dynamics.",To facilitate a fair and respectful resolution between conflicting parties while maintaining emotional neutrality.,To express their perspective honestly and seek mutual understanding without escalating tensions.,"""Being honest , loyal , respectful , courteous , considerate with others""",Mediator,Involved Party
"{'Abbreviation': 'Being in love', 'Full label': '""Being in love""'}",Relationship Building,"The chosen social goal category is 'Relationship Building' as it aligns well with the shared goal of 'Being in love'. This category focuses on forming and deepening connections, which is essential in romantic relationships. Each agent's personal goal reflects their unique perspective and motivation within this context, while their social roles shape how they interact to achieve both their personal and shared goals.",To deepen emotional intimacy by sharing personal thoughts and feelings,To create memorable experiences together to strengthen the bond,"""Being in love""","The Confessor (open and vulnerable, seeks emotional connection)","The Adventurer (energetic and spontaneous, seeks shared experiences)"
"{'Abbreviation': 'Achieving salvation', 'Full label': '""Achieving salvation""'}",Relationship Building,"The chosen social goal category is 'Relationship Building' as it aligns well with the shared goal of 'Achieving salvation,' which often involves interpersonal connections and mutual support. The agents will have personal goals that reflect their unique perspectives on salvation, shaped by their social roles.",To find a spiritual guide who can help them understand the path to salvation.,To share their wisdom and experiences about salvation to guide others.,"""Achieving salvation""",Seeker,Mentor
"{'Abbreviation': 'Lifeâ€™s limitations', 'Full label': '""Accepting lifeâ€™s limitations""'}",Conflict Resolution,"The chosen social goal category is 'Conflict Resolution' as it aligns well with the shared goal of 'Accepting life’s limitations'. Conflict resolution often involves acknowledging and reconciling differences, which ties into accepting limitations. The agents will have personal goals that reflect their unique perspectives on this shared goal, shaped by their social roles.",To help the other agent see the value in embracing life's imperfections and finding peace in acceptance.,To resist accepting limitations until they are convinced it leads to personal growth and not resignation.,"""Accepting lifeâ€™s limitations""",Mediator,Skeptic
"{'Abbreviation': 'Being private', 'Full label': '""Keeping to myself being private""'}",Identity Recognition,"The chosen social goal category is 'Identity Recognition', as it aligns well with the shared goal of 'Keeping to myself being private'. This category focuses on how individuals seek to be perceived by others while maintaining their privacy. The agents' personal goals will reflect their desire to control how their identity is recognized by others without revealing too much about themselves.","To be perceived as mysterious and enigmatic, revealing only superficial details to maintain privacy.","To be recognized as independent and self-sufficient, avoiding any appearance of needing social validation.","""Keeping to myself being private""",The Enigmatic Observer,The Self-Reliant Individual
"{'Abbreviation': 'Helping others', 'Full label': '""Helping others , cooperating , giving support""'}",Cooperation,"The chosen social goal category is 'Cooperation' as it aligns closely with the shared goal of 'Helping others, cooperating, giving support'. This category allows us to explore how agents with different personal goals and social roles work together to achieve a common objective.",To ensure the group's task is completed efficiently by organizing and delegating responsibilities.,To provide emotional support and encouragement to team members to maintain morale and motivation.,"""Helping others , cooperating , giving support""",Task Leader,Supportive Team Member
"{'Abbreviation': 'Arts', 'Full label': '""Appreciating the arts""'}",Relationship Building,We selected 'Relationship Building' as the social goal category because appreciating the arts often involves shared experiences that foster connections between individuals. The agents' personal goals reflect their unique motivations while aligning with the shared goal of art appreciation. Their social roles shape how they interact to achieve these goals.,To deepen emotional bonds with others by sharing personal interpretations of the artwork.,To establish new connections by engaging in thoughtful discussions about the artistic techniques used.,"""Appreciating the arts""",Emotional Connector (focuses on subjective experiences and feelings evoked by the art),Analytical Conversationalist (focuses on objective analysis and technical aspects of the art)
"{'Abbreviation': 'Feeling meshed', 'Full label': '""Having emotional intimacy , feeling really meshed with another""'}",Relationship Building,"The chosen social goal category is 'Relationship Building' as it aligns closely with the shared goal of achieving emotional intimacy and feeling meshed with another. This category focuses on developing deeper connections, which is essential for emotional intimacy.",To openly share personal thoughts and feelings in order to foster a deeper emotional connection.,To actively listen and validate the other's emotions to create a safe space for vulnerability.,"""Having emotional intimacy , feeling really meshed with another""",Emotional Sharer,Supportive Listener
"{'Abbreviation': 'Control of environment', 'Full label': '""Being in control of the environment""'}",Competition,"The chosen social goal category is 'Competition', as it aligns well with the shared goal of 'Being in control of the environment'. Competition naturally involves agents striving to assert dominance or control, which fits the shared goal. The personal goals reflect each agent's desire to outperform the other while maintaining control, and their social roles (Leader and Challenger) shape how they interact in this competitive context.",To establish dominance in decision-making to ensure the environment aligns with their vision.,To challenge the current control dynamics and prove their ability to manage the environment more effectively.,"""Being in control of the environment""",Leader,Challenger
"{'Abbreviation': 'Charity', 'Full label': '""Being charitable , helping the needy""'}",Cooperation,"The chosen social goal category is 'Cooperation' as it aligns well with the shared goal of 'Being charitable, helping the needy'. Cooperation involves working together to achieve a common objective, which is essential in charitable activities. Each agent's personal goal reflects their unique perspective and motivation while contributing to the shared goal.","To organize a community fundraiser to gather resources for the needy, ensuring maximum participation and efficiency.","To personally connect with the needy individuals, understand their specific needs, and ensure the resources are distributed fairly and empathetically.","""Being charitable , helping the needy""",Fundraiser Organizer,Community Outreach Coordinator
"{'Abbreviation': 'Exciting life', 'Full label': '""Having an exciting , stimulating life""'}",Relationship Building,"The chosen social goal category is 'Relationship Building' as it aligns well with the shared goal of 'Having an exciting, stimulating life'. Building relationships can lead to new experiences and adventures, which are essential for an exciting life. The agents will have complementary personal goals that reflect their unique perspectives on how to achieve this shared goal.",To seek out and connect with adventurous individuals who can introduce new and thrilling experiences.,To share their passion for adventure and inspire others to join them in pursuing exciting activities.,"""Having an exciting , stimulating life""",Adventure Seeker,Adventure Enthusiast
"{'Abbreviation': 'Nutrition', 'Full label': '""Being physiologically healthy , maintaining a healthy weight , eating nutritious foods""'}",Cooperation,"We selected 'Cooperation' as the social goal category because it aligns well with the shared goal of maintaining physiological health. Cooperation involves working together to achieve mutual benefits, which is essential for goals like healthy eating and weight management. The two agents will have complementary personal goals that reflect their unique perspectives while contributing to the shared objective.","To create a structured meal plan that balances nutrition and enjoyment, ensuring long-term adherence to healthy eating habits.",To motivate and support others in adopting healthier lifestyles by sharing practical tips and emotional encouragement.,"""Being physiologically healthy , maintaining a healthy weight , eating nutritious foods""",Nutrition Planner,Wellness Coach
"{'Abbreviation': 'Romantic experiences', 'Full label': '""Having romantic experiences""'}",Relationship Building,"The chosen social goal category is 'Relationship Building' as it aligns well with the shared goal of 'Having romantic experiences'. This category focuses on forming and deepening connections, which is central to romantic interactions. The agents' personal goals reflect their individual motivations within this context, while their roles shape how they engage with each other.",To establish a deep emotional connection with a potential partner by sharing personal values and interests.,To explore compatibility with someone new by engaging in meaningful conversations and shared activities.,"""Having romantic experiences""",The Empathetic Listener,The Adventurous Explorer
"{'Abbreviation': 'Erotic relationship', 'Full label': '""Having an erotic relationship""'}",Relationship Building,"The chosen social goal category is 'Relationship Building' as it aligns closely with the shared goal of 'Having an erotic relationship'. This category focuses on establishing and deepening connections, which is essential for forming an erotic relationship. The personal goals and roles are designed to reflect differing motivations and approaches to achieving the shared goal.","To establish a deep emotional and physical connection with the other agent, ensuring mutual attraction and compatibility.","To explore the potential for a passionate and exciting relationship, prioritizing chemistry and spontaneity.","""Having an erotic relationship""",The Nurturer,The Adventurer
"{'Abbreviation': 'Being better than others', 'Full label': '""Being better than others , beating others""'}",Competition,"The chosen social goal category is 'Competition' as it directly aligns with the shared goal of 'Being better than others, beating others'. This category involves agents striving to outperform each other, which fits the context of rivalry and achievement.",To outperform the other agent in all tasks to establish dominance and gain recognition as the superior individual.,To consistently surpass the first agent's performance to prove their own superiority and secure their status as the best.,"""Being better than others , beating others""",Competitive Challenger,Competitive Defender
"{'Abbreviation': 'Being recognized', 'Full label': '""Being admired , recognized by others""'}",Competition,"The chosen social goal category is 'Competition', as it naturally aligns with the shared goal of 'Being admired, recognized by others'. In competitive scenarios, individuals often strive to outperform others to gain admiration and recognition. The personal goals and roles are designed to reflect distinct approaches to achieving this shared goal.","To outperform the other agent in a visible or measurable way, ensuring personal achievements are recognized as superior.","To subtly undermine the other agent's accomplishments while highlighting their own contributions, aiming for admiration through social manipulation.","""Being admired , recognized by others""",The Achiever (focused on tangible success and direct competition),The Strategist (focused on social dynamics and indirect competition)
